a	A|吖|呵|啊|嗄|腌|锕|阿	A|吖|呵|啊|嗄|腌|錒|阿
cuqiu	促求	促求
curan	猝然	猝然
cusha	粗砂	粗砂
cushe	簇射	簇射
cusheng	促声	促聲
cushi	促使|猝逝	促使|猝逝
cushu	粗疏	粗疏
cushuai	粗率	粗率
cushuizheng	猝睡症	猝睡症
cusi	猝死	猝死
cusu	粗俗	粗俗
cusuan	醋酸	醋酸
cusuanxianwei	醋酸纤维	醋酸纖維
cusuanyizhi	醋酸乙酯	醋酸乙酯
cutanzi	醋坛子	醋罈子
cuti	粗体	粗體
cutizi	粗体字	粗體字
cutui	促退	促退
cuxi	促膝|粗细	促膝|粗細
cuxia	促狭	促狹
cuxiagui	促狭鬼	促狹鬼
cuxian	促弦	促弦
cuxiao	促销	促銷
cuxin	簇新|粗心	簇新|粗心
cuxindayi	粗心大意	粗心大意
cuxitanxin	促膝谈心	促膝談心
cuya	粗哑	粗啞
cuyan	粗盐	粗鹽
cuye	粗野	粗野
cuyi	醋意	醋意
cuyong	簇拥	簇擁
cuyu	粗语	粗語
cuzhi	促织	促織
cuzhidaye	粗枝大叶	粗枝大葉
cuzhilanzao	粗制滥造	粗製濫造
cuzhong	卒中	卒中
cuzhuang	粗壮	粗壯
cwei	C位	C位
da	剳|咑|哒|嗒|垯|大|妲|怛|打|搭|汏|沓|炟|疸|瘩|笪|答|繨|羍|耷|荅|荙|褡|跶|达|迏|逹|靼|鞑|龖|龘|𫟼	剳|咑|嗒|噠|墶|大|妲|怛|打|搭|汏|沓|炟|疸|瘩|笪|答|繨|羍|耷|荅|薘|褡|躂|迏|逹|達|鐽|靼|韃|龖|龘
daai	大碍	大礙
daan	大安|答案	大安|答案
daandiliesi	大安的列斯	大安的列斯
daandiliesiqundao	大安的列斯群岛	大安的列斯群島
daanqu	大安区	大安區
daanshi	大安市	大安市
daayi	大阿姨	大阿姨
daba	大坝|大巴|打靶	大壩|大巴|打靶
dabai	大白|大败|打败|搭白|答拜|答白	大敗|大白|打敗|搭白|答拜|答白
dabaicai	大白菜	大白菜
dabaihua	大白话	大白話
dabailu	大白鹭	大白鷺
dabaisha	大白鲨	大白鯊
dabaishu	大白鼠	大白鼠
dabaitian	大白天	大白天
dabaitiao	打白条	打白條
dabaixiongquan	大白熊犬	大白熊犬
dabaizi	大伯子	大伯子
daban	大半|大坂|大班|大阪|打扮|搭伴	大半|大坂|大班|大阪|打扮|搭伴
dabancheng	达坂城	達坂城
dabanchengqu	达坂城区	達坂城區
dabanfu	大阪府	大阪府
dabang	大棒|搭帮	大棒|搭幫
dabanjiling	大斑鹡鸰	大斑鶺鴒
dabanniepanjing	大般涅槃经	大般涅槃經
dabanshao	大阪烧	大阪燒
dabanye	大半夜	大半夜
dabanzhuomuniao	大斑啄木鸟	大斑啄木鳥
dabao	大宝|大鸨|打包|打爆	大寶|大鴇|打包|打爆
dabaobuping	打抱不平	打抱不平
dabaodalan	大包大揽	大包大攬
dabaojiandao	打薄剪刀	打薄剪刀
dabaojiao	大堡礁	大堡礁
dabaokoufu	大饱口福	大飽口福
dabaopiao	打保票|打包票	打保票|打包票
dabaoyanfu	大饱眼福	大飽眼福
dabaozha	大爆炸	大爆炸
dabashi	打把势|打把式	打把勢|打把式
dabashou	搭把手	搭把手
dabashour	搭把手儿	搭把手兒
dabei	搭背	搭背
dabeizhou	大悲咒	大悲咒
dabenniepanjing	大本涅槃经	大本涅槃經
dabenxiang	大笨象	大笨象
dabenying	大本营	大本營
dabenzhong	大本钟	大本鐘
dabi	大笔	大筆
dabian	大便|大变|搭便|答辩	大便|大變|搭便|答辯
dabianche	搭便车	搭便車
dabianganzao	大便干燥	大便乾燥
dabiangu	打边鼓	打邊鼓
dabianlu	打边炉	打邊爐
dabianmijie	大便秘结	大便祕結
dabiao	打表|达标	打錶|達標
dabieshan	大别山	大別山
dabimuyu	大比目鱼	大比目魚
dabing	大兵|大病|大饼	大兵|大病|大餅
dabingqi	大冰期	大冰期
dabinyu	大滨鹬	大濱鷸
dabo	大伯|打啵|搭膊	大伯|打啵|搭膊
dabosiju	大波斯菊	大波斯菊
dabu	大埔|大步|大部|搭补	大埔|大步|大部|搭補
dabudao	达不到	達不到
dabufen	大部分	大部分
dabuguo	打不过	打不過
dabuliao	大不了	大不了
dabuliedian	大不列颠	大不列顛
dabuliedie	大不列蹀	大不列蹀
dabulishi	大不里士	大不里士
dabuliuxing	大步流星	大步流星
dabutie	大补帖	大補帖
dabutong	打不通	打不通
dabutou	大捕头	大捕頭
dabuwei	大不韪	大不韙
dabuxian	大埔县	大埔縣
dabuxiangtong	大不相同	大不相同
dabuzhi	大部制	大部制
dacabianqiu	打擦边球	打擦邊球
dacaixiaoyong	大才小用|大材小用	大才小用|大材小用
dacall	打call	打call
dacan	大餐	大餐
dacao	打草	打草
dacaojingshe	打草惊蛇	打草驚蛇
dacaomei	大草鹛	大草鶥
dacaoying	大草莺	大草鶯
dacaoyuan	大草原	大草原
dacengci	打层次	打層次
dacha	打岔|打杈|打镲|搭茬	打岔|打杈|打鑔|搭茬
dachabucha	大差不差	大差不差
dachai	打柴	打柴
dachaidan	大柴旦	大柴旦
dachaidanxingzhengqu	大柴旦行政区	大柴旦行政區
dachaidanxingzhengweiyuanhui	大柴旦行政委员会	大柴旦行政委員會
dachan	打禅	打禪
dachang	大厂|大氅|大肠|打场	大廠|大氅|大腸|打場
dachangbaoxiaochang	大肠包小肠	大腸包小腸
dachangdong	大场鸫	大場鶇
dachangganjun	大肠杆菌	大腸桿菌
dachanggong	打长工	打長工
dachanghuizuzizhixian	大厂回族自治县	大廠回族自治縣
dachangjin	大长今	大長今
dachangjizaozheng	大肠激躁症	大腸激躁症
dachangtu	打长途	打長途
dachangtui	大长腿	大長腿
dachangxian	大厂县	大廠縣
dachangzuididong	大长嘴地鸫	大長嘴地鶇
dachao	大潮	大潮
dachaodanao	大吵大闹	大吵大鬧
dachar	搭茬儿	搭茬兒
dachazi	大𥻗子	大𥻗子
dache	打车|搭车	打車|搭車
dachedawu	大彻大悟	大徹大悟
dachen	大臣	大臣
dacheng	大城|打成|搭乘|达成	大城|打成|搭乘|達成
dachengpingshou	打成平手	打成平手
dachengshi	大城市	大城市
dachengxian	大城县	大城縣
dachengxiang	大城乡	大城鄉
dachengxieyi	达成协议	達成協議
dachengyipian	打成一片	打成一片
dachi	大吃	大吃
dachibo	打赤膊	打赤膊
dachidahe	大吃大喝	大吃大喝
dachierhe	大吃二喝	大吃二喝
dachijiao	打赤脚	打赤腳
dachitechi	大吃特吃	大吃特吃
dachiyijing	大吃一惊	大吃一驚
dachong	大虫|打虫	大蟲|打蟲
dachongfeng	打冲锋	打衝鋒
dachu	打怵|打憷	打怵|打憷
dachuang	大疮	大瘡
dachuangfang	大床房	大床房
dachuangjian	大床间	大床間
dachui	大锤	大錘
dachuidalei	大吹大擂	大吹大擂
dachun	打春	打春
dachunxiaoci	大醇小疵	大醇小疵
dachushou	打出手	打出手
dachuxue	大出血	大出血
dachuzhuoyanxiaochuzhuoshou	大处着眼，小处着手	大處著眼，小處著手
daci	答词	答詞
daciensi	大慈恩寺	大慈恩寺
dacong	大葱|打从	大蔥|打從
dacun	大村	大村
dacunxiang	大村乡	大村鄉
dacuo	大错|打错	大錯|打錯
dacuotecuo	大错特错	大錯特錯
dada	大大|鞑靼	大大|韃靼
dadachushou	大打出手	大打出手
dadafangfang	大大方方	大大方方
dadahaixia	鞑靼海峡	韃靼海峽
dadalielie	大大咧咧	大大咧咧
dadan	大胆	大膽
dadang	打档|搭当|搭挡|搭档	打檔|搭擋|搭檔|搭當
dadangche	打档车	打檔車
dadanierhaixia	达达尼尔海峡	達達尼爾海峽
dadanqi	打蛋器	打蛋器
dadanquan	大丹犬	大丹犬
dadanyifan	大啖一番	大啖一番
dadao	大刀|大盗|大道|打倒|达到	大刀|大盜|大道|打倒|達到
dadaohui	大刀会	大刀會
dadaohuifu	打道回府	打道回府
dadaoju	大道具	大道具
dadaokuofu	大刀阔斧	大刀闊斧
dadaoli	大道理	大道理
dadaren	鞑靼人	韃靼人
dadaxiaoxiao	大大小小	大大小小
dadehuore	打得火热	打得火熱
dadeli	达德利	達德利
dadeng	大灯	大燈
dadi	大地|大帝|大抵|打底|打的	大地|大帝|大抵|打底|打的
dadian	大典|大殿|打点	大典|大殿|打點
dadiandi	打点滴	打點滴
dadiandong	打电动	打電動
dadianhua	打电话	打電話
dadiao	大调|打掉|搭调	大調|打掉|搭調
dadiaomenyawangduziliyan	打掉门牙，往肚子里咽	打掉門牙，往肚子裡嚥
dadiaoping	打吊瓶	打吊瓶
dadiaozhen	打吊针	打吊針
dadiceliangxue	大地测量学	大地測量學
dadidangqian	大敌当前	大敵當前
dadidong	大地洞	大地洞
dadie	大跌	大跌
dadieshi	大跌市	大跌市
dadieyanjing	大跌眼镜	大跌眼鏡
dadieyu	大鲽鱼	大鰈魚
dadiku	打底裤	打底褲
dadingzhuyi	打定主意	打定主意
dadipu	打地铺	打地鋪
dadishuizhunmian	大地水准面	大地水準面
dadixian	大地线	大地線
dadizhige	大地之歌	大地之歌
dadizhu	大地主	大地主
dadizi	打底子	打底子
dadong	大东|打动|打洞	大東|打動|打洞
dadonggange	大动干戈	大動干戈
dadongmai	大动脉	大動脈
dadongqu	大东区	大東區
dadongyagongrongquan	大东亚共荣圈	大東亞共榮圈
dadou	大豆|大都|打斗	大豆|大都|打鬥
dadu	大度|大都|打赌	大度|大都|打賭
daduan	打断	打斷
daduanr	打短儿	打短兒
daduanzhibailing	大短趾百灵	大短趾百靈
dadubaorong	大度包容	大度包容
daduhe	大渡河	大渡河
daduhui	大都会	大都會
dadui	大憝|大队|打兑|答对	大憝|大隊|打兌|答對
daduitai	打对台	打對台
daduizhang	打对仗	打對仗
dadujuan	大杜鹃	大杜鵑
dadukou	大渡口	大渡口
dadukouqu	大渡口区	大渡口區
dadun	打盹|打顿	打盹|打頓
dadunr	打盹儿|打趸儿|打顿儿	打盹兒|打躉兒|打頓兒
daduo	大多	大多
daduoshou	大舵手	大舵手
daduoshu	大多数	大多數
daduosuo	打哆嗦	打哆嗦
dadushi	大都市	大都市
daduzi	大肚子	大肚子
daduzijingji	大肚子经济	大肚子經濟
dae	大鳄|打呃	大鱷|打呃
daenbuyanxie	大恩不言谢	大恩不言謝
daer	大二	大二
daerfuer	达尔富尔	達爾富爾
daerguang	打耳光	打耳光
daerhanmaominganlianheqi	达尔罕茂明安联合旗	達爾罕茂明安聯合旗
daerhuazhi	大而化之	大而化之
daerlong	大耳窿	大耳窿
daermatiya	达尔马提亚	達爾馬提亞
daerwen	达尔文	達爾文
daerwengang	达尔文港	達爾文港
daerwenxueshuo	达尔文学说	達爾文學說
daerwenzhuyi	达尔文主义	達爾文主義
daerwudang	大而无当	大而無當
dafa	大发|打发|打法	大發|打法|打發
dafaguan	大法官	大法官
dafaleiting	大发雷霆	大發雷霆
dafan	大凡|打翻|打饭	大凡|打翻|打飯
dafandian	大饭店	大飯店
dafang	大方|答访	大方|答訪
dafangbeisheng	大放悲声	大放悲聲
dafangguangfohuayanjing	大方广佛华严经	大方廣佛華嚴經
dafangguangming	大放光明	大放光明
dafangjueci	大放厥词	大放厥詞
dafangxian	大方县	大方縣
dafangyicai	大放异彩	大放異彩
dafangzhijia	大方之家	大方之家
dafanshenzhang	打翻身仗	打翻身仗
dafanwei	大范围	大範圍
dafashijian	打发时间	打發時間
dafei	达菲	達菲
dafeiji	打飞机	打飛機
dafeisuowen	答非所问	答非所問
dafeizhouzhang	大费周章	大費周章
dafen	大粪|打分	大糞|打分
dafeng	大丰|大风|搭缝	大豐|大風|搭縫
dafengchui	大风吹	大風吹
dafengqu	大丰区	大豐區
dafengtouyanou	大凤头燕鸥	大鳳頭燕鷗
dafenjieling	大分界岭	大分界嶺
dafenqi	达·芬奇	達·芬奇
dafenshu	打分数	打分數
dafenxi	达芬西	達芬西
dafenxian	大分县	大分縣
dafenzi	大分子	大分子
dafu	大副|大夫|大幅|大福|大釜|答复	大副|大夫|大幅|大福|大釜|答復|答覆
dafudagui	大富大贵	大富大貴
dafudu	大幅度	大幅度
dafujipin	打富济贫	打富濟貧
dafupi	大腹皮	大腹皮
dafupianpian	大腹便便	大腹便便
dafuweng	大富翁	大富翁
dagai	大概|搭盖	大概|搭蓋
dagaimao	大盖帽	大蓋帽
dagan	大干	大幹
dagang	大港|大纲	大港|大綱
dagangqin	大钢琴	大鋼琴
dagangqu	大港区	大港區
dagaozi	打稿子	打稿子
dage	大哥|打嗝	大哥|打嗝
dageda	大哥大	大哥大
dageng	打更	打更
dagenlan	大根兰	大根蘭
dagentou	打跟头	打跟頭
dager	大个儿|打嗝儿	大個兒|打嗝兒
dagezi	打格子	打格子
dagong	大公|大功|大恭|打工|打拱	大公|大功|大恭|打工|打拱
dagongbao	大公报	大公報
dagonggaocheng	大功告成	大功告成
dagongguo	大公国	大公國
dagongguoji	大公国际	大公國際
dagongmei	打工妹	打工妹
dagongren	打工人	打工人
dagongsi	大公司	大公司
dagongwusi	大公无私	大公無私
dagongzai	打工仔	打工仔
dagongzuoyi	打拱作揖|打躬作揖	打拱作揖|打躬作揖
dagou	打勾|打狗|打钩|搭钩	打勾|打狗|打鉤|搭鉤
dagougou	打勾勾	打勾勾
dagouhaideikanzhuren	打狗还得看主人	打狗還得看主人
dagouqizhu	打狗欺主	打狗欺主
dagu	大姑|大鼓|打箍|打谷|打鼓|搭咕	大姑|大鼓|打穀|打箍|打鼓|搭咕
dagua	打卦|打瓜	打卦|打瓜
daguai	大拐	大拐
daguan	大关|大管|大观|达官|达观	大管|大觀|大關|達官|達觀
daguang	打光	打光
daguanggun	打光棍	打光棍
daguanguiren	达官贵人	達官貴人
daguanhua	打官话	打官話
daguanqiang	打官腔	打官腔
daguanqu	大观区	大觀區
daguansi	打官司	打官司
daguanxian	大关县	大關縣
daguanxiangui	达官显贵	達官顯貴
daguanyuan	大观园	大觀園
daguchang	打谷场	打穀場
dagudong	大股东	大股東
daguimo	大规模	大規模
daguimoshashangxingwuqi	大规模杀伤性武器	大規模殺傷性武器
daguji	打谷机	打穀機
dagukoupaotai	大沽口炮台	大沽口砲臺
dagun	打滚	打滾
dagunzi	打棍子	打棍子
daguo	大国|大过|大锅	大國|大過|大鍋
daguofan	大锅饭	大鍋飯
daguonian	大过年	大過年
dagupaotai	大沽炮台	大沽砲臺
dahaha	打哈哈	打哈哈
dahahar	打哈哈儿	打哈哈兒
dahai	大海	大海
dahailaozhen	大海捞针	大海撈針
dahan	大喊|大寒|大汉|大汗|打鼾	大喊|大寒|大汗|大漢|打鼾
dahandajiao	大喊大叫	大喊大叫
dahandiguo	大韩帝国	大韓帝國
dahang	打夯	打夯
dahanhangkong	大韩航空	大韓航空
dahanlinli	大汗淋漓	大汗淋漓
dahanminguo	大韩民国	大韓民國
dahanwangyunni	大旱望云霓	大旱望雲霓
dahanzhiwangyunni	大旱之望云霓	大旱之望雲霓
dahanzuzhuyi	大汉族主义	大漢族主義
dahao	大号	大號
dahaqian	打哈欠	打哈欠
dahe	大和|大河	大和|大河
dahechang	大合唱	大合唱
dahei	打黑	打黑
daheng	大亨	大亨
dahengpao	打横炮	打橫炮
daheqian	打呵欠	打呵欠
dahong	大红|打哄	大紅|打哄
dahongbizi	大红鼻子	大紅鼻子
dahongdalv	大红大绿	大紅大綠
dahongdazi	大红大紫	大紅大紫
dahongdenglonggaogaogua	大红灯笼高高挂	大紅燈籠高高掛
dahongguan	大红鹳	大紅鸛
dahonglu	大鸿胪	大鴻臚
dahongpao	大红袍	大紅袍
dahounian	大后年	大後年
dahoutian	大后天	大後天
dahu	大户|大湖|打呼	大戶|大湖|打呼
dahua	大化|打滑|搭话|答话	大化|打滑|搭話|答話
dahuaidan	大坏蛋	大壞蛋
dahuan	大环	大環
dahuang	大黄	大黃
dahuangfeng	大黄蜂	大黃蜂
dahuangguanzhuomuniao	大黄冠啄木鸟	大黃冠啄木鳥
dahuangyu	大黄鱼	大黃魚
dahuanjing	大环境	大環境
dahuatou	大话骰	大話骰
dahuaxian	大化县	大化縣
dahuayaozuzizhixian	大化瑶族自治县	大化瑤族自治縣
dahui	大会	大會
dahuilang	大灰狼	大灰狼
dahuixiang	大茴香	大茴香
dahuixiangzi	大茴香子	大茴香子
dahuizhuomuniao	大灰啄木鸟	大灰啄木鳥
dahulaer	大呼拉尔	大呼拉爾
dahulu	打呼噜	打呼嚕
dahun	大婚|打混|打诨	大婚|打混|打諢
dahuo	大伙|大夥|大火|大祸|搭伙	大伙|大夥|大火|大禍|搭伙
dahuobujie	大惑不解	大惑不解
dahuoji	打火机	打火機
dahuolintou	大祸临头	大禍臨頭
dahuoquansheng	大获全胜	大獲全勝
dahuor	大伙儿	大伙兒
dahuoshi	打火石	打火石
dahutoufeng	大虎头蜂	大虎頭蜂
dahuxiang	大湖乡	大湖鄉
dahuxiaojiao	大呼小叫	大呼小叫
dai	代|侢|傣|叇|呆|呔|垈|埭|大|岱|带|待|怠|戴|槑|歹|歺|殆|玳|甙|绐|艜|蝳|袋|襶|贷|軚|迨|逮|黛|黱|𠯪	代|侢|傣|呆|呔|垈|埭|大|岱|帶|待|怠|戴|槑|歹|歺|殆|獃|玳|瑇|甙|紿|艜|蝳|袋|襶|貸|軚|迨|逮|靆|黛|黱|𠯪
daianna	戴安娜|黛安娜	戴安娜|黛安娜
daiannawangfei	戴安娜王妃	戴安娜王妃
daiaoxin	戴奥辛	戴奧辛
daiban	代办|代班|呆板	代班|代辦|呆板
daibanshixiangliebiao	待办事项列表	待辦事項列表
daibanshou	呆扳手	呆扳手
daiben	呆笨	呆笨
daibi	代币|代笔|待毙	代幣|代筆|待斃
daibiao	代表|戴表	代表|戴錶
daibiaochu	代表处	代表處
daibiaodui	代表队	代表隊
daibiaorenwu	代表人物	代表人物
daibiaotuan	代表团	代表團
daibiaoxing	代表性	代表性
daibiaozuo	代表作	代表作
daibing	带兵|带病	帶兵|帶病
daibingguo	戴秉国	戴秉國
daibu	代步|逮捕	代步|逮捕
daibuche	代步车	代步車
daican	代餐	代餐
daichan	待产	待產
daichang	代偿	代償
daicheng	代称	代稱
daici	代词|带刺	代詞|帶刺
daida	带大	帶大
daidai	代代	代代
daidaixiangchuan	代代相传	代代相傳
daidao	代祷	代禱
daidian	带电	帶電
daidianlizi	带电粒子	帶電粒子
daidiao	带调	帶調
daiding	待定	待定
daidong	带动	帶動
daidu	歹毒	歹毒
daidui	带队	帶隊
daidun	代顿	代頓
daiduo	怠惰	怠惰
daier	戴尔	戴爾
daierfute	代尔夫特	代爾夫特
daifang	贷方	貸方
daifenshu	带分数	帶分數
daifu	大夫|待复	大夫|待復
daigan	带感	帶感
daigang	待岗	待崗
daigaole	戴高乐	戴高樂
daigaomaozi	戴高帽子	戴高帽子
daigei	带给	帶給
daigen	呆根	呆根
daigong	代工|怠工	代工|怠工
daigou	代沟|代购	代溝|代購
daigua	呆瓜	呆瓜
daiguan	代管	代管
daiguo	带过	帶過
daihaizi	带孩子	帶孩子
daihao	代号	代號
daihongse	带红色	帶紅色
daihu	怠忽	怠忽
daihuai	带坏	帶壞
daihuan	代换	代換
daihui	带回|待会	帶回|待會
daihuir	呆会儿|待会儿	呆會兒|待會兒
daihuo	带货	帶貨
daiji	代际|待机|贷记	代際|待機|貸記
daijia	代价|代驾	代價|代駕
daijiaergu	待价而沽	待價而沽
daijian	待见	待見
daijie	待解	待解
daijin	带劲|殆尽	帶勁|殆盡
daijinquan	代金券	代金券
daiju	戴菊	戴菊
daijuniao	戴菊鸟	戴菊鳥
daijunzhe	带菌者	帶菌者
daikao	代考|待考	代考|待考
daike	代课	代課
daikeboche	代客泊车	代客泊車
daikekezhi	代可可脂	代可可脂
daikelixian	戴克里先	戴克里先
daikou	代扣|带扣	代扣|帶釦
daikuan	带宽|贷款	帶寬|貸款
daikuanlv	贷款率	貸款率
daikuanren	贷款人	貸款人
dailai	带来	帶來
dailang	袋狼	袋狼
dailao	代劳	代勞
dailei	带累	帶累
daili	代理	代理
dailing	带领	帶領
dailiren	代理人	代理人
dailishang	代理商	代理商
dailisi	代利斯	代利斯
dailiyunmu	代理孕母	代理孕母
dailu	带路|带露	帶路|帶露
dailuren	带路人	帶路人
dailvmaozi	戴绿帽子	戴綠帽子
dailvtoujin	戴绿头巾	戴綠頭巾
daima	代码	代碼
daimaduan	代码段	代碼段
daiman	怠慢	怠慢
daimao	玳瑁|蝳蝐	玳瑁|蝳蝐
daimaoke	玳瑁壳	玳瑁殼
daimaoyanjing	玳瑁眼镜	玳瑁眼鏡
daimaozi	戴帽子	戴帽子
daimaye	代码页	代碼頁
daimei	带霉	帶霉
daimeng	呆萌	呆萌
daimiao	岱庙	岱廟
daiming	待命|歹命	待命|歹命
daimingci	代名词	代名詞
daimingshi	戴名世	戴名世
daimu	代母	代母
dainamaite	代拿买特	代拿買特
dainiupeidu	带牛佩犊	帶牛佩犢
daipenwangtian	戴盆望天	戴盆望天
daiqi	带气	帶氣
daiqili	黛绮莉	黛綺莉
daiqu	带去	帶去
dair	带儿	帶兒
dairen	待人|歹人	待人|歹人
dairenjiewu	待人接物	待人接物
dairenshouguo	代人受过	代人受過
dairu	代入	代入
dairuomuji	呆若木鸡	呆若木雞
daisai	带赛	帶賽
daisha	呆傻	呆傻
daishan	岱山	岱山
daishang	带上|戴上	帶上|戴上
daishangmen	带上门	帶上門
daishanxian	岱山县	岱山縣
daisheng	戴胜	戴勝
daishi	歹势	歹勢
daishou	代收	代收
daishouhuokuan	代收货款	代收貨款
daishu	代书|代数|袋鼠	代數|代書|袋鼠
daishucu	代数簇	代數簇
daishufangcheng	代数方程	代數方程
daishuguo	袋鼠国	袋鼠國
daishuhanshu	代数函数	代數函數
daishuhanshulun	代数函数论	代數函數論
daishuhe	代数和	代數和
daishujiegou	代数结构	代數結構
daishujihe	代数几何	代數幾何
daishujihexue	代数几何学	代數幾何學
daishuliang	代数量	代數量
daishuqumian	代数曲面	代數曲面
daishuqun	代数群	代數群
daishuquxian	代数曲线	代數曲線
daishushi	代数式	代數式
daishushuyu	代数数域	代數數域
daishutuopu	代数拓扑	代數拓撲
daishuxue	代数学	代數學
daitang	代糖	代糖
daitao	戴套	戴套
daiti	代替	代替
daitian	代填	代填
daitifumu	代替父母	代替父母
daitizhe	代替者	代替者
daitou	带头	帶頭
daitoudainao	呆头呆脑	呆頭呆腦
daitouren	带头人	帶頭人
daitu	歹徒	歹徒
daiwa	带娃	帶娃
daiwai	带歪	帶歪
daiwang	大王	大王
daiwei	代为|戴维	代為|戴維
daiweisi	戴维斯	戴維斯
daiweisibei	戴维斯杯	戴維斯杯
daiweiying	戴维营	戴維營
daixian	代县	代縣
daixiao	代销|带孝|戴孝	代銷|帶孝|戴孝
daixiaocao	待宵草	待宵草
daixiaodian	代销店	代銷店
daixie	代写|代谢	代寫|代謝
daixin	带薪	帶薪
daixing	代行	代行
daixinxiujia	带薪休假	帶薪休假
daixiong	袋熊	袋熊
daixu	待续	待續
daixuejin	贷学金	貸學金
daiyan	代言	代言
daiyanren	代言人	代言人
daiyao	待要	待要
daiye	待业	待業
daiyi	歹意	歹意
daiyituo	待乙妥	待乙妥
